Date,Year,Day of Year,Day of Run,Total Precipitation
9/17/09,2009,260,260,0
9/18/09,2009,261,261,0
9/19/09,2009,262,262,0
9/20/09,2009,263,263,0
9/21/09,2009,264,264,0
9/22/09,2009,265,265,0
9/23/09,2009,266,266,0
9/24/09,2009,267,267,0
9/25/09,2009,268,268,0
9/26/09,2009,269,269,0
9/27/09,2009,270,270,0
9/28/09,2009,271,271,0
9/29/09,2009,272,272,0
9/30/09,2009,273,273,0
10/1/09,2009,274,274,0
10/2/09,2009,275,275,0
10/3/09,2009,276,276,0
10/4/09,2009,277,277,0
10/5/09,2009,278,278,0
10/6/09,2009,279,279,0
10/7/09,2009,280,280,0
10/8/09,2009,281,281,0
10/9/09,2009,282,282,0
10/10/09,2009,283,283,0
10/11/09,2009,284,284,0
10/12/09,2009,285,285,0
10/13/09,2009,286,286,0
10/14/09,2009,287,287,0
10/15/09,2009,288,288,0
10/16/09,2009,289,289,0
10/17/09,2009,290,290,0
10/18/09,2009,291,291,0
10/19/09,2009,292,292,0
10/20/09,2009,293,293,0
10/21/09,2009,294,294,0
10/22/09,2009,295,295,0
10/23/09,2009,296,296,0
10/24/09,2009,297,297,0
10/25/09,2009,298,298,0
10/26/09,2009,299,299,0
10/27/09,2009,300,300,0
10/28/09,2009,301,301,0
10/29/09,2009,302,302,0
10/30/09,2009,303,303,0
10/31/09,2009,304,304,0
11/1/09,2009,305,305,0
11/2/09,2009,306,306,0
11/3/09,2009,307,307,0
11/4/09,2009,308,308,0
11/5/09,2009,309,309,0
11/6/09,2009,310,310,0
11/7/09,2009,311,311,0
11/8/09,2009,312,312,0
11/9/09,2009,313,313,0
11/10/09,2009,314,314,0
11/11/09,2009,315,315,0
11/12/09,2009,316,316,0
11/13/09,2009,317,317,0.05
11/14/09,2009,318,318,0.03
11/15/09,2009,319,319,0
11/16/09,2009,320,320,0
11/17/09,2009,321,321,0
11/18/09,2009,322,322,0
11/19/09,2009,323,323,0
11/20/09,2009,324,324,0
11/21/09,2009,325,325,0
11/22/09,2009,326,326,0
11/23/09,2009,327,327,0
11/24/09,2009,328,328,0
11/25/09,2009,329,329,0
11/26/09,2009,330,330,0
11/27/09,2009,331,331,0
11/28/09,2009,332,332,0.28
11/29/09,2009,333,333,0
11/30/09,2009,334,334,0.42
12/1/09,2009,335,335,0
12/2/09,2009,336,336,0
12/3/09,2009,337,337,0
12/4/09,2009,338,338,0
12/5/09,2009,339,339,0
12/6/09,2009,340,340,0
12/7/09,2009,341,341,0
12/8/09,2009,342,342,0.5
12/9/09,2009,343,343,0.02
12/10/09,2009,344,344,0
12/11/09,2009,345,345,0.21
12/12/09,2009,346,346,0.65
12/13/09,2009,347,347,0.37
12/14/09,2009,348,348,0.5
12/15/09,2009,349,349,0.34
12/16/09,2009,350,350,0
12/17/09,2009,351,351,0
12/18/09,2009,352,352,0
12/19/09,2009,353,353,0
12/20/09,2009,354,354,0
12/21/09,2009,355,355,0
12/22/09,2009,356,356,0.14
12/23/09,2009,357,357,0.13
12/24/09,2009,358,358,0.02
12/25/09,2009,359,359,0
12/26/09,2009,360,360,0
12/27/09,2009,361,361,0
12/28/09,2009,362,362,0
12/29/09,2009,363,363,0
12/30/09,2009,364,364,0
12/31/09,2009,365,365,0
1/1/10,2010,1,366,0
1/2/10,2010,2,367,0
1/3/10,2010,3,368,0
1/4/10,2010,4,369,0
1/5/10,2010,5,370,0
1/6/10,2010,6,371,0
1/7/10,2010,7,372,0
1/8/10,2010,8,373,0
1/9/10,2010,9,374,0
1/10/10,2010,10,375,0
1/11/10,2010,11,376,0
1/12/10,2010,12,377,0
1/13/10,2010,13,378,0.16
1/14/10,2010,14,379,0
1/15/10,2010,15,380,0
1/16/10,2010,16,381,0
1/17/10,2010,17,382,0.16
1/18/10,2010,18,383,0
1/19/10,2010,19,384,0
1/20/10,2010,20,385,0
1/21/10,2010,21,386,0
1/22/10,2010,22,387,0
1/23/10,2010,23,388,0.32
1/24/10,2010,24,389,0.6
1/25/10,2010,25,390,0.01
1/26/10,2010,26,391,0
1/27/10,2010,27,392,0.18
1/28/10,2010,28,393,0.02
1/29/10,2010,29,394,0
1/30/10,2010,30,395,0
1/31/10,2010,31,396,0
2/1/10,2010,32,397,0
2/2/10,2010,33,398,0
2/3/10,2010,34,399,0
2/4/10,2010,35,400,0
2/5/10,2010,36,401,0.1
2/6/10,2010,37,402,0.01
2/7/10,2010,38,403,0.5
2/8/10,2010,39,404,0.06
2/9/10,2010,40,405,0
2/10/10,2010,41,406,0.3
2/11/10,2010,42,407,0.23
2/12/10,2010,43,408,0
2/13/10,2010,44,409,0
2/14/10,2010,45,410,0
2/15/10,2010,46,411,0
2/16/10,2010,47,412,0
2/17/10,2010,48,413,0
2/18/10,2010,49,414,0
2/19/10,2010,50,415,0
2/20/10,2010,51,416,0.07
2/21/10,2010,52,417,0
2/22/10,2010,53,418,0.19
2/23/10,2010,54,419,0
2/24/10,2010,55,420,0.02
2/25/10,2010,56,421,0
2/26/10,2010,57,422,0
2/27/10,2010,58,423,0
2/28/10,2010,59,424,0.69
3/1/10,2010,60,425,0
3/2/10,2010,61,426,0
3/3/10,2010,62,427,0
3/4/10,2010,63,428,0
3/5/10,2010,64,429,0
3/6/10,2010,65,430,0
3/7/10,2010,66,431,0
3/8/10,2010,67,432,0.1
3/9/10,2010,68,433,0
3/10/10,2010,69,434,0
3/11/10,2010,70,435,0
3/12/10,2010,71,436,0
3/13/10,2010,72,437,0
3/14/10,2010,73,438,0
3/15/10,2010,74,439,0
3/16/10,2010,75,440,0
3/17/10,2010,76,441,0
3/18/10,2010,77,442,0
3/19/10,2010,78,443,0
3/20/10,2010,79,444,0
3/21/10,2010,80,445,0
3/22/10,2010,81,446,0
3/23/10,2010,82,447,0
3/24/10,2010,83,448,0
3/25/10,2010,84,449,0
3/26/10,2010,85,450,0
3/27/10,2010,86,451,0
3/28/10,2010,87,452,0
3/29/10,2010,88,453,0
3/30/10,2010,89,454,0
3/31/10,2010,90,455,0
4/1/10,2010,91,456,0
4/2/10,2010,92,457,0
4/3/10,2010,93,458,0
4/4/10,2010,94,459,0
4/5/10,2010,95,460,0
4/6/10,2010,96,461,0
4/7/10,2010,97,462,0
4/8/10,2010,98,463,0
4/9/10,2010,99,464,0
4/10/10,2010,100,465,0
4/11/10,2010,101,466,0
4/12/10,2010,102,467,0.29
4/13/10,2010,103,468,0.09
4/14/10,2010,104,469,0
4/15/10,2010,105,470,0
4/16/10,2010,106,471,0
4/17/10,2010,107,472,0
4/18/10,2010,108,473,0
4/19/10,2010,109,474,0.01
4/20/10,2010,110,475,0
4/21/10,2010,111,476,0.04
4/22/10,2010,112,477,0.32
4/23/10,2010,113,478,0.27
4/24/10,2010,114,479,0
4/25/10,2010,115,480,0
4/26/10,2010,116,481,0
4/27/10,2010,117,482,0
4/28/10,2010,118,483,0
4/29/10,2010,119,484,0
4/30/10,2010,120,485,0
5/1/10,2010,121,486,0
5/2/10,2010,122,487,0
5/3/10,2010,123,488,0
5/4/10,2010,124,489,0
5/5/10,2010,125,490,0
5/6/10,2010,126,491,0
5/7/10,2010,127,492,0
5/8/10,2010,128,493,0
5/9/10,2010,129,494,0
5/10/10,2010,130,495,0
5/11/10,2010,131,496,0
5/12/10,2010,132,497,0
5/13/10,2010,133,498,0
5/14/10,2010,134,499,0
5/15/10,2010,135,500,0
5/16/10,2010,136,501,0
5/17/10,2010,137,502,0
5/18/10,2010,138,503,0
5/19/10,2010,139,504,0
5/20/10,2010,140,505,0
5/21/10,2010,141,506,0
5/22/10,2010,142,507,0
5/23/10,2010,143,508,0.01
5/24/10,2010,144,509,0.04
5/25/10,2010,145,510,0
5/26/10,2010,146,511,0
5/27/10,2010,147,512,0
5/28/10,2010,148,513,0
5/29/10,2010,149,514,0
5/30/10,2010,150,515,0
5/31/10,2010,151,516,0
6/1/10,2010,152,517,0
6/2/10,2010,153,518,0
6/3/10,2010,154,519,0
6/4/10,2010,155,520,0
6/5/10,2010,156,521,0
6/6/10,2010,157,522,0
6/7/10,2010,158,523,0
6/8/10,2010,159,524,0
6/9/10,2010,160,525,0
6/10/10,2010,161,526,0
6/11/10,2010,162,527,0
6/12/10,2010,163,528,0
6/13/10,2010,164,529,0
6/14/10,2010,165,530,0
6/15/10,2010,166,531,0
6/16/10,2010,167,532,0
6/17/10,2010,168,533,0
6/18/10,2010,169,534,0
6/19/10,2010,170,535,0
6/20/10,2010,171,536,0
6/21/10,2010,172,537,0
6/22/10,2010,173,538,0
6/23/10,2010,174,539,0
6/24/10,2010,175,540,0
6/25/10,2010,176,541,0
6/26/10,2010,177,542,0
6/27/10,2010,178,543,0
6/28/10,2010,179,544,0
6/29/10,2010,180,545,0
6/30/10,2010,181,546,0
7/1/10,2010,182,547,0
7/2/10,2010,183,548,0
7/3/10,2010,184,549,0
7/4/10,2010,185,550,0
7/5/10,2010,186,551,0
7/6/10,2010,187,552,0
7/7/10,2010,188,553,0
7/8/10,2010,189,554,0
7/9/10,2010,190,555,0
7/10/10,2010,191,556,0
7/11/10,2010,192,557,0
7/12/10,2010,193,558,0
7/13/10,2010,194,559,0
7/14/10,2010,195,560,0
7/15/10,2010,196,561,0
7/16/10,2010,197,562,0
7/17/10,2010,198,563,0
7/18/10,2010,199,564,0
7/19/10,2010,200,565,0
7/20/10,2010,201,566,0
7/21/10,2010,202,567,0
7/22/10,2010,203,568,0
7/23/10,2010,204,569,0
7/24/10,2010,205,570,0
7/25/10,2010,206,571,0
7/26/10,2010,207,572,0
7/27/10,2010,208,573,0
7/28/10,2010,209,574,0
7/29/10,2010,210,575,0
7/30/10,2010,211,576,0
7/31/10,2010,212,577,0
8/1/10,2010,213,578,0
8/2/10,2010,214,579,0
8/3/10,2010,215,580,0
8/4/10,2010,216,581,0
8/5/10,2010,217,582,0
8/6/10,2010,218,583,0
8/7/10,2010,219,584,0
8/8/10,2010,220,585,0
8/9/10,2010,221,586,0
8/10/10,2010,222,587,0
8/11/10,2010,223,588,0
8/12/10,2010,224,589,0
8/13/10,2010,225,590,0
8/14/10,2010,226,591,0
8/15/10,2010,227,592,0
8/16/10,2010,228,593,0
8/17/10,2010,229,594,0
8/18/10,2010,230,595,0
8/19/10,2010,231,596,0
8/20/10,2010,232,597,0
8/21/10,2010,233,598,0
8/22/10,2010,234,599,0
8/23/10,2010,235,600,0
8/24/10,2010,236,601,0
8/25/10,2010,237,602,0
8/26/10,2010,238,603,0
8/27/10,2010,239,604,0
8/28/10,2010,240,605,0
8/29/10,2010,241,606,0
8/30/10,2010,242,607,0
8/31/10,2010,243,608,0
9/1/10,2010,244,609,0
9/2/10,2010,245,610,0
9/3/10,2010,246,611,0
9/4/10,2010,247,612,0
9/5/10,2010,248,613,0
9/6/10,2010,249,614,0
9/7/10,2010,250,615,0
9/8/10,2010,251,616,0
9/9/10,2010,252,617,0
9/10/10,2010,253,618,0
9/11/10,2010,254,619,0
9/12/10,2010,255,620,0
9/13/10,2010,256,621,0
9/14/10,2010,257,622,0
9/15/10,2010,258,623,0
9/16/10,2010,259,624,0
9/17/10,2010,260,625,0
9/18/10,2010,261,626,0
9/19/10,2010,262,627,0
9/20/10,2010,263,628,0
9/21/10,2010,264,629,0
9/22/10,2010,265,630,0
9/23/10,2010,266,631,0
9/24/10,2010,267,632,0
9/25/10,2010,268,633,0
9/26/10,2010,269,634,0
9/27/10,2010,270,635,0
9/28/10,2010,271,636,0
9/29/10,2010,272,637,0
9/30/10,2010,273,638,0.32
10/1/10,2010,274,639,0.14
10/2/10,2010,275,640,0.21
10/3/10,2010,276,641,0
10/4/10,2010,277,642,0
10/5/10,2010,278,643,0
10/6/10,2010,279,644,0
10/7/10,2010,280,645,0
10/8/10,2010,281,646,0
10/9/10,2010,282,647,0
10/10/10,2010,283,648,0
10/11/10,2010,284,649,0
10/12/10,2010,285,650,0
10/13/10,2010,286,651,0
10/14/10,2010,287,652,0.02
10/15/10,2010,288,653,0
10/16/10,2010,289,654,0
10/17/10,2010,290,655,0.01
10/18/10,2010,291,656,0
10/19/10,2010,292,657,0.83
10/20/10,2010,293,658,0.06
10/21/10,2010,294,659,0
10/22/10,2010,295,660,0
10/23/10,2010,296,661,0
10/24/10,2010,297,662,0
10/25/10,2010,298,663,0
10/26/10,2010,299,664,0
10/27/10,2010,300,665,0
10/28/10,2010,301,666,0
10/29/10,2010,302,667,0
10/30/10,2010,303,668,0.05
10/31/10,2010,304,669,0
11/1/10,2010,305,670,0
11/2/10,2010,306,671,0
11/3/10,2010,307,672,0
11/4/10,2010,308,673,0
11/5/10,2010,309,674,0
11/6/10,2010,310,675,0
11/7/10,2010,311,676,0
11/8/10,2010,312,677,0.01
11/9/10,2010,313,678,0
11/10/10,2010,314,679,0
11/11/10,2010,315,680,0
11/12/10,2010,316,681,0
11/13/10,2010,317,682,0
11/14/10,2010,318,683,0
11/15/10,2010,319,684,0
11/16/10,2010,320,685,0
11/17/10,2010,321,686,0
11/18/10,2010,322,687,0
11/19/10,2010,323,688,0
11/20/10,2010,324,689,0.16
11/21/10,2010,325,690,0
11/22/10,2010,326,691,0.4
11/23/10,2010,327,692,0.21
11/24/10,2010,328,693,0.02
11/25/10,2010,329,694,0
11/26/10,2010,330,695,0
11/27/10,2010,331,696,0
11/28/10,2010,332,697,0.01
11/29/10,2010,333,698,0
11/30/10,2010,334,699,0
12/1/10,2010,335,700,0
12/2/10,2010,336,701,0
12/3/10,2010,337,702,0
12/4/10,2010,338,703,0
12/5/10,2010,339,704,0.16
12/6/10,2010,340,705,0.01
12/7/10,2010,341,706,0
12/8/10,2010,342,707,0
12/9/10,2010,343,708,0
12/10/10,2010,344,709,0
12/11/10,2010,345,710,0
12/12/10,2010,346,711,0
12/13/10,2010,347,712,0
12/14/10,2010,348,713,0
12/15/10,2010,349,714,0
12/16/10,2010,350,715,0.1
12/17/10,2010,351,716,0.07
12/18/10,2010,352,717,0.17
12/19/10,2010,353,718,1.21
12/20/10,2010,354,719,2.34
12/21/10,2010,355,720,0.95
12/22/10,2010,356,721,0.06
12/23/10,2010,357,722,1.44
12/24/10,2010,358,723,0.38
12/25/10,2010,359,724,0
12/26/10,2010,360,725,0.09
12/27/10,2010,361,726,0
12/28/10,2010,362,727,0
12/29/10,2010,363,728,0.02
12/30/10,2010,364,729,0.04
12/31/10,2010,365,730,0
1/1/11,2011,1,731,0
1/2/11,2011,2,732,0
1/3/11,2011,3,733,0.32
1/4/11,2011,4,734,0.15
1/5/11,2011,5,735,0
1/6/11,2011,6,736,0
1/7/11,2011,7,737,0
1/8/11,2011,8,738,0
1/9/11,2011,9,739,0
1/10/11,2011,10,740,0
1/11/11,2011,11,741,0
1/12/11,2011,12,742,0
1/13/11,2011,13,743,0
1/14/11,2011,14,744,0
1/15/11,2011,15,745,0
1/16/11,2011,16,746,0
1/17/11,2011,17,747,0
1/18/11,2011,18,748,0
1/19/11,2011,19,749,0
1/20/11,2011,20,750,0
1/21/11,2011,21,751,0
1/22/11,2011,22,752,0
1/23/11,2011,23,753,0
1/24/11,2011,24,754,0
1/25/11,2011,25,755,0
1/26/11,2011,26,756,0
1/27/11,2011,27,757,0
1/28/11,2011,28,758,0
1/29/11,2011,29,759,0
1/30/11,2011,30,760,0
1/31/11,2011,31,761,0.05
2/1/11,2011,32,762,0
2/2/11,2011,33,763,0
2/3/11,2011,34,764,0
2/4/11,2011,35,765,0
2/5/11,2011,36,766,0
2/6/11,2011,37,767,0
2/7/11,2011,38,768,0
2/8/11,2011,39,769,0
2/9/11,2011,40,770,0
2/10/11,2011,41,771,0
2/11/11,2011,42,772,0
2/12/11,2011,43,773,0
2/13/11,2011,44,774,0
2/14/11,2011,45,775,0
2/15/11,2011,46,776,0
2/16/11,2011,47,777,0.13
2/17/11,2011,48,778,0.17
2/18/11,2011,49,779,0
2/19/11,2011,50,780,0.09
2/20/11,2011,51,781,0.34
2/21/11,2011,52,782,0.36
2/22/11,2011,53,783,0
2/23/11,2011,54,784,0
2/24/11,2011,55,785,0
2/25/11,2011,56,786,0
2/26/11,2011,57,787,0.13
2/27/11,2011,58,788,0.26
2/28/11,2011,59,789,0
3/1/11,2011,60,790,0
3/2/11,2011,61,791,0
3/3/11,2011,62,792,0
3/4/11,2011,63,793,0
3/5/11,2011,64,794,0
3/6/11,2011,65,795,0
3/7/11,2011,66,796,0
3/8/11,2011,67,797,0
3/9/11,2011,68,798,0
3/10/11,2011,69,799,0
3/11/11,2011,70,800,0
3/12/11,2011,71,801,0
3/13/11,2011,72,802,0
3/14/11,2011,73,803,0
3/15/11,2011,74,804,0
3/16/11,2011,75,805,0
3/17/11,2011,76,806,0
3/18/11,2011,77,807,0
3/19/11,2011,78,808,0
3/20/11,2011,79,809,0
3/21/11,2011,80,810,0.17
3/22/11,2011,81,811,0.38
3/23/11,2011,82,812,0
3/24/11,2011,83,813,0.02
3/25/11,2011,84,814,0
3/26/11,2011,85,815,0
3/27/11,2011,86,816,0
3/28/11,2011,87,817,0
3/29/11,2011,88,818,0
3/30/11,2011,89,819,0
3/31/11,2011,90,820,0
4/1/11,2011,91,821,0
4/2/11,2011,92,822,0
4/3/11,2011,93,823,0
4/4/11,2011,94,824,0
4/5/11,2011,95,825,0
4/6/11,2011,96,826,0.1
4/7/11,2011,97,827,0
4/8/11,2011,98,828,0.04
4/9/11,2011,99,829,0.17
4/10/11,2011,100,830,0
4/11/11,2011,101,831,0
4/12/11,2011,102,832,0
4/13/11,2011,103,833,0
4/14/11,2011,104,834,0
4/15/11,2011,105,835,0
4/16/11,2011,106,836,0
4/17/11,2011,107,837,0
4/18/11,2011,108,838,0
4/19/11,2011,109,839,0
4/20/11,2011,110,840,0
4/21/11,2011,111,841,0
4/22/11,2011,112,842,0
4/23/11,2011,113,843,0
4/24/11,2011,114,844,0
4/25/11,2011,115,845,0
4/26/11,2011,116,846,0
4/27/11,2011,117,847,0
4/28/11,2011,118,848,0
4/29/11,2011,119,849,0
4/30/11,2011,120,850,0
5/1/11,2011,121,851,0
5/2/11,2011,122,852,0
5/3/11,2011,123,853,0
5/4/11,2011,124,854,0
5/5/11,2011,125,855,0
5/6/11,2011,126,856,0
5/7/11,2011,127,857,0
5/8/11,2011,128,858,0
5/9/11,2011,129,859,0
5/10/11,2011,130,860,0.05
5/11/11,2011,131,861,0
5/12/11,2011,132,862,0
5/13/11,2011,133,863,0
5/14/11,2011,134,864,0
5/15/11,2011,135,865,0
5/16/11,2011,136,866,0
5/17/11,2011,137,867,0.01
5/18/11,2011,138,868,0.25
5/19/11,2011,139,869,0
5/20/11,2011,140,870,0
5/21/11,2011,141,871,0
5/22/11,2011,142,872,0
5/23/11,2011,143,873,0
5/24/11,2011,144,874,0
5/25/11,2011,145,875,0
5/26/11,2011,146,876,0
5/27/11,2011,147,877,0
5/28/11,2011,148,878,0
5/29/11,2011,149,879,0
5/30/11,2011,150,880,0
5/31/11,2011,151,881,0
6/1/11,2011,152,882,0
6/2/11,2011,153,883,0
6/3/11,2011,154,884,0
6/4/11,2011,155,885,0
6/5/11,2011,156,886,0
6/6/11,2011,157,887,0
6/7/11,2011,158,888,0
6/8/11,2011,159,889,0
6/9/11,2011,160,890,0
6/10/11,2011,161,891,0
6/11/11,2011,162,892,0
6/12/11,2011,163,893,0
6/13/11,2011,164,894,0
6/14/11,2011,165,895,0
6/15/11,2011,166,896,0
6/16/11,2011,167,897,0
6/17/11,2011,168,898,0
6/18/11,2011,169,899,0
6/19/11,2011,170,900,0
6/20/11,2011,171,901,0
6/21/11,2011,172,902,0
6/22/11,2011,173,903,0
6/23/11,2011,174,904,0
6/24/11,2011,175,905,0
6/25/11,2011,176,906,0
6/26/11,2011,177,907,0
6/27/11,2011,178,908,0
6/28/11,2011,179,909,0
6/29/11,2011,180,910,0
6/30/11,2011,181,911,0
7/1/11,2011,182,912,0
7/2/11,2011,183,913,0
7/3/11,2011,184,914,0
7/4/11,2011,185,915,0
