Latitude: 33.823  Longitude: -116.75
X & Y on Lambert Conformal Conic: -1488155.18 -772923.41
Tile: 11012
Elevation: 2197 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2015,160,0.00,18.42,10.73
2015,161,0.00,17.41,6.85
2015,162,0.00,19.63,3.49
2015,163,0.00,23.30,8.70
2015,164,0.00,25.11,11.61
2015,165,0.00,25.83,12.87
2015,166,0.00,26.70,11.66
2015,167,0.00,27.87,9.24
2015,168,0.00,28.12,13.05
2015,169,0.00,25.98,12.64
2015,170,0.00,28.44,11.80
2015,171,0.00,30.41,11.73
2015,172,0.00,27.67,9.87
2015,173,0.00,27.46,10.86
2015,174,0.00,26.02,10.06
2015,175,0.00,27.56,9.91
2015,176,0.00,28.94,13.83
2015,177,0.00,26.95,14.51
2015,178,0.00,26.46,14.94
2015,179,0.00,22.71,14.29
2015,180,0.00,26.90,14.48
2015,181,0.00,27.95,12.78
2015,182,0.66,23.02,13.01
2015,183,0.00,23.46,10.53
2015,184,0.00,25.72,9.62
2015,185,0.00,25.74,12.67
2015,186,0.00,25.40,13.07
2015,187,0.00,24.68,13.35
2015,188,0.00,24.03,9.12
2015,189,0.00,19.30,5.08
2015,190,0.00,15.86,2.60
2015,191,0.00,16.73,0.64
2015,192,0.00,21.10,4.71
2015,193,0.00,23.47,8.27
2015,194,0.00,24.50,7.70
2015,195,0.00,23.17,7.45
2015,196,0.00,24.47,7.42
2015,197,0.00,26.32,8.58
2015,198,0.00,26.02,12.50
2015,199,23.88,15.57,10.88
2015,200,26.66,18.49,10.07
2015,201,0.00,18.63,10.07
2015,202,0.00,20.14,7.56
2015,203,0.00,19.06,7.11
2015,204,0.00,21.24,5.40
2015,205,0.00,22.96,4.07
2015,206,0.00,24.06,5.26
2015,207,0.00,23.38,7.50
2015,208,0.00,22.96,7.50
2015,209,0.00,26.37,7.80
2015,210,0.00,26.87,13.97
2015,211,38.24,23.51,13.64
2015,212,0.00,22.32,11.44
2015,213,0.00,25.15,10.60
2015,214,0.00,24.83,10.68
2015,215,0.00,25.23,11.11
2015,216,0.00,26.23,10.74
2015,217,0.00,26.44,11.05
2015,218,0.00,25.58,11.78
2015,219,0.00,21.30,8.78
2015,220,0.00,22.65,4.79
2015,221,0.00,24.95,9.18
2015,222,0.00,24.68,11.28
2015,223,0.00,24.98,12.57
2015,224,0.00,27.96,14.18
2015,225,0.00,27.96,13.94
2015,226,0.00,28.06,13.05
2015,227,0.00,29.15,13.76
2015,228,0.00,30.13,14.46
2015,229,0.00,26.74,13.13
2015,230,0.00,25.53,13.51
2015,231,0.00,25.39,11.68
2015,232,0.00,25.75,13.44
2015,233,0.00,27.48,12.60
2015,234,0.00,26.76,10.59
2015,235,0.00,27.54,11.72
2015,236,0.00,28.35,12.27
2015,237,0.00,24.31,14.91
2015,238,0.00,25.71,12.08
2015,239,0.00,26.03,12.28
2015,240,0.00,28.84,13.00
2015,241,0.00,26.21,12.15
2015,242,0.00,23.41,9.87
2015,243,0.00,23.85,8.40
2015,244,0.00,24.90,8.81
2015,245,0.00,22.56,8.75
2015,246,0.00,22.32,9.71
2015,247,0.00,21.08,8.88
2015,248,0.00,22.36,5.81
2015,249,0.00,22.99,9.17
2015,250,0.00,23.60,10.70
2015,251,0.00,24.83,11.00
2015,252,0.00,23.87,10.75
2015,253,0.00,23.32,11.02
2015,254,0.00,29.03,10.52
2015,255,0.00,25.43,9.83
2015,256,0.00,22.77,9.08
2015,257,0.00,18.65,6.81
2015,258,36.17,11.92,8.18
2015,259,0.00,15.52,4.82
2015,260,0.00,17.31,3.48
2015,261,0.00,23.35,4.68
2015,262,0.00,24.62,7.53
2015,263,0.00,26.64,10.35
2015,264,0.00,25.82,9.91
2015,265,0.00,20.96,10.74
2015,266,0.00,25.07,8.77
2015,267,0.00,27.62,10.53
2015,268,0.00,26.41,13.17
2015,269,0.00,25.20,11.45
2015,270,0.00,25.31,11.57
2015,271,0.00,23.05,10.00
2015,272,0.00,23.21,7.52
2015,273,0.00,25.11,8.73
2015,274,0.00,20.12,6.97
2015,275,0.00,17.79,1.98
2015,276,0.00,17.28,4.72
2015,277,18.02,8.81,1.96
2015,278,15.10,6.90,1.31
2015,279,0.00,10.03,-0.43
2015,280,0.00,17.84,1.83
2015,281,0.00,20.54,6.81
2015,282,0.00,23.04,15.70
2015,283,0.00,22.60,10.08
2015,284,0.00,24.07,6.91
2015,285,0.00,22.47,9.07
2015,286,0.00,23.54,9.37
2015,287,0.00,22.24,7.58
2015,288,9.61,17.36,10.44
2015,289,9.67,17.37,7.80
2015,290,0.00,16.85,6.94
2015,291,0.00,11.89,4.80
2015,292,0.00,10.01,-0.81
2015,293,0.00,11.61,0.95
2015,294,0.00,12.80,2.77
2015,295,0.00,14.89,1.37
2015,296,0.00,17.78,1.81
2015,297,0.00,19.71,5.02
2015,298,0.00,14.79,3.86
2015,299,0.00,19.04,2.45
2015,300,0.00,18.93,1.64
2015,301,0.00,16.53,4.26
2015,302,0.00,11.87,0.67
2015,303,0.00,14.85,0.49
2015,304,0.00,19.52,4.46
2015,305,0.00,20.96,6.13
2015,306,16.90,15.99,2.49
2015,307,0.00,2.68,-2.15
2015,308,0.00,0.72,-4.40
2015,309,0.00,7.71,-6.96
2015,310,0.00,10.63,-3.42
2015,311,0.00,13.26,-2.66
2015,312,0.00,12.55,-2.57
2015,313,6.98,9.32,-1.73
2015,314,0.00,2.07,-4.45
2015,315,0.00,9.41,-6.70
2015,316,0.00,13.36,-3.44
2015,317,0.00,14.09,-0.22
2015,318,0.00,13.91,-2.93
2015,319,0.00,6.13,-2.76
2015,320,0.00,1.67,-5.92
2015,321,0.00,11.00,-5.36
2015,322,0.00,17.12,0.46
2015,323,0.00,17.62,2.13
2015,324,0.00,18.34,2.97
2015,325,0.00,15.72,3.52
2015,326,0.00,16.59,1.47
2015,327,0.00,14.69,0.69
2015,328,0.00,11.54,0.44
2015,329,3.98,-0.71,-4.49
2015,330,0.00,-0.06,-6.50
2015,331,0.00,-0.45,-6.13
2015,332,0.00,1.41,-8.46
2015,333,0.00,4.68,-7.74
2015,334,0.00,8.22,-7.00
2015,335,0.00,10.60,-3.28
2015,336,0.00,13.90,-2.81
2015,337,0.00,15.38,0.20
2015,338,0.00,8.65,-1.82
2015,339,0.00,14.52,-1.99
2015,340,0.00,16.79,-0.51
2015,341,0.00,16.96,1.79
2015,342,0.00,19.45,4.34
2015,343,0.00,18.91,5.43
2015,344,0.00,15.65,3.44
2015,345,13.01,3.15,-4.77
2015,346,0.00,2.54,-9.12
2015,347,19.79,7.69,-4.33
2015,348,0.00,-2.97,-8.39
2015,349,0.00,0.25,-9.63
2015,350,0.00,2.01,-9.61
2015,351,0.00,8.27,-5.25
2015,352,0.00,12.99,-0.96
2015,353,10.13,8.28,-2.31
2015,354,0.00,0.60,-6.03
2015,355,0.00,7.58,-3.93
2015,356,59.42,3.61,2.44
2015,357,0.00,4.23,-1.65
2015,358,0.00,4.03,-6.05
2015,359,0.00,-2.10,-7.97
2015,360,0.00,-0.53,-7.74
2015,361,0.00,3.76,-8.81
2015,362,8.60,0.37,-8.08
2015,363,0.00,1.38,-10.28
2015,364,0.00,3.18,-9.19
2015,365,0.00,2.66,-8.43
2016,1,0.00,4.78,-7.53
2016,2,0.00,10.72,-1.90
2016,3,0.00,8.97,-0.94
2016,4,17.17,4.39,1.13
2016,5,45.73,2.20,-1.94
2016,6,44.17,-1.67,-3.18
2016,7,36.69,-3.11,-4.67
2016,8,0.00,0.62,-9.12
2016,9,0.00,2.95,-9.40
2016,10,0.00,3.10,-2.77
2016,11,0.00,3.82,-6.13
2016,12,0.00,11.75,-2.31
2016,13,0.00,8.43,-4.41
2016,14,0.00,10.48,-3.26
2016,15,0.00,4.59,-2.57
2016,16,0.00,10.38,-4.60
2016,17,0.00,13.76,0.13
2016,18,0.00,7.36,-2.70
2016,19,6.42,9.01,-3.65
2016,20,0.00,11.86,-3.18
2016,21,0.00,12.88,-1.02
2016,22,0.00,13.84,-2.07
2016,23,0.00,7.34,-1.92
2016,24,0.00,5.67,-6.51
2016,25,0.00,6.72,-5.02
2016,26,0.00,10.41,-4.44
2016,27,0.00,11.59,-1.85
2016,28,0.00,14.80,-0.57
2016,29,0.00,14.12,3.68
2016,30,0.00,10.74,4.34
2016,31,30.40,3.04,-8.50
2016,32,0.00,-5.14,-9.56
2016,33,0.00,0.40,-11.22
2016,34,0.00,3.33,-8.15
2016,35,0.00,9.18,-4.24
2016,36,0.00,9.72,-1.75
2016,37,0.00,13.42,1.21
2016,38,0.00,15.55,1.55
2016,39,0.00,16.85,8.84
2016,40,0.00,17.90,4.90
2016,41,0.00,18.91,1.86
2016,42,0.00,18.99,1.43
2016,43,0.00,19.06,1.97
2016,44,0.00,17.52,0.69
2016,45,0.00,17.77,1.32
2016,46,0.00,18.55,4.05
2016,47,0.00,18.88,0.87
2016,48,10.75,16.26,1.21
2016,49,0.00,8.20,-1.76
2016,50,0.00,10.96,-1.64
2016,51,0.00,14.75,-2.18
2016,52,0.00,16.47,-1.89
2016,53,0.00,15.19,1.36
2016,54,0.00,14.05,0.21
2016,55,0.00,14.09,-0.71
2016,56,0.00,16.97,-0.64
2016,57,0.00,17.28,0.30
2016,58,0.00,17.63,2.37
2016,59,0.00,19.39,3.55
2016,60,0.00,18.51,3.18
2016,61,0.00,17.22,2.73
2016,62,0.00,16.57,2.96
2016,63,0.00,16.17,1.82
2016,64,0.00,15.04,-0.15
2016,65,10.90,12.27,1.02
2016,66,19.61,2.24,-1.27
2016,67,26.03,-1.79,-6.08
2016,68,0.00,5.56,-7.62
2016,69,0.00,12.62,-2.33
2016,70,0.00,14.92,-1.09
2016,71,21.57,8.81,-2.65
2016,72,0.00,4.92,-4.68
2016,73,0.00,8.80,-3.63
2016,74,0.00,8.75,-1.52
2016,75,0.00,15.84,0.33
2016,76,0.00,16.15,1.17
2016,77,0.00,15.29,1.01
2016,78,0.00,16.10,1.08
2016,79,0.00,16.39,2.35
2016,80,0.00,16.73,0.62
2016,81,0.00,13.59,-0.53
2016,82,0.00,7.30,-3.36
2016,83,0.00,10.85,-4.44
2016,84,0.00,14.97,-0.85
2016,85,0.00,15.53,0.17
2016,86,0.00,15.98,-0.43
2016,87,0.00,14.74,0.10
2016,88,1.60,3.59,-4.31
2016,89,0.00,0.04,-5.74
2016,90,0.00,1.66,-8.50
2016,91,0.00,8.59,-5.71
2016,92,0.00,12.69,-1.99
2016,93,0.00,16.02,-0.79
2016,94,0.00,17.24,-0.06
2016,95,0.00,16.38,1.00
2016,96,0.00,19.17,1.52
2016,97,0.00,19.74,5.75
2016,98,6.90,10.57,4.61
2016,99,12.81,6.08,4.04
2016,100,8.85,5.68,-0.57
2016,101,12.20,1.87,0.33
2016,102,7.98,6.66,-1.43
2016,103,0.00,10.82,-1.45
2016,104,0.00,12.68,-0.77
2016,105,0.00,12.08,-0.12
2016,106,0.00,10.36,0.05
2016,107,0.00,13.81,-1.49
2016,108,0.00,16.39,3.12
2016,109,0.00,18.47,0.25
2016,110,0.00,18.88,1.95
2016,111,0.00,18.69,2.53
2016,112,0.00,18.68,2.24
2016,113,0.00,16.42,1.29
2016,114,0.00,12.90,-2.66
2016,115,0.00,13.58,-1.11
2016,116,3.92,2.94,-3.86
2016,117,0.00,8.98,-6.01
2016,118,0.00,10.10,-2.31
2016,119,0.00,2.39,-2.76
2016,120,0.00,11.20,-4.32
2016,121,0.00,4.87,-0.26
2016,122,0.00,11.35,0.83
2016,123,0.00,13.94,-0.74
2016,124,0.00,19.10,3.10
2016,125,0.00,17.40,2.42
2016,126,0.00,7.27,-1.34
2016,127,13.42,3.72,-3.03
2016,128,10.71,7.03,-0.54
2016,129,0.00,8.48,-2.72
2016,130,0.00,13.10,-1.59
2016,131,0.00,16.03,0.89
2016,132,0.00,21.31,2.93
2016,133,0.00,23.04,9.03
2016,134,0.00,22.83,6.50
2016,135,0.00,21.17,5.04
2016,136,0.00,11.01,1.50
2016,137,0.00,15.49,-0.84
2016,138,0.00,15.15,1.12
2016,139,0.00,16.73,3.36
2016,140,0.00,19.10,4.18
2016,141,0.00,13.02,-0.99
2016,142,0.00,8.45,-4.54
2016,143,0.00,11.65,-4.92
2016,144,0.00,11.32,-4.12
2016,145,0.00,9.87,-3.54
2016,146,0.00,6.76,-6.35
2016,147,0.00,13.84,-2.53
2016,148,0.00,16.99,2.30
2016,149,0.00,18.30,4.26
2016,150,0.00,16.82,2.56
2016,151,0.00,20.71,2.70
2016,152,0.00,26.82,7.86
2016,153,0.00,27.60,10.92
2016,154,0.00,25.54,11.09
2016,155,0.00,26.82,9.43
2016,156,0.00,26.80,8.72
2016,157,0.00,24.87,6.97
2016,158,0.00,23.10,6.89
2016,159,0.00,25.29,9.67
2016,160,0.00,28.53,11.90
2016,161,0.00,28.99,9.64
2016,162,0.00,22.95,8.14
2016,163,0.00,18.76,6.26
2016,164,0.00,16.89,0.84
2016,165,0.00,17.71,2.03
2016,166,0.00,20.22,4.95
2016,167,0.00,16.10,4.09
2016,168,0.00,17.85,4.92
2016,169,0.00,22.21,5.17
2016,170,0.00,25.64,6.13
2016,171,0.00,30.06,12.04
2016,172,0.00,31.69,12.32
2016,173,0.00,29.58,15.64
2016,174,0.00,26.88,13.54
2016,175,0.00,26.06,11.02
2016,176,0.00,26.21,13.22
2016,177,0.00,29.23,11.70
2016,178,0.00,30.71,11.20
2016,179,0.00,27.07,14.20
2016,180,0.00,27.22,14.06
2016,181,0.00,29.44,13.29
2016,182,0.00,27.84,11.75
2016,183,0.00,25.84,12.57
2016,184,0.00,25.78,12.24
2016,185,0.00,25.38,11.94
2016,186,0.00,25.60,9.58
2016,187,0.00,24.83,8.41
2016,188,0.00,23.41,9.21
2016,189,0.00,24.76,9.14
2016,190,0.00,25.59,8.98
2016,191,0.00,24.39,8.85
2016,192,0.00,23.60,9.57
2016,193,0.00,23.90,7.89
2016,194,0.00,24.54,7.68
2016,195,0.00,27.44,8.83
2016,196,0.00,27.38,9.52
2016,197,0.00,27.21,10.82
2016,198,0.00,26.66,12.46
2016,199,0.00,25.83,13.36
2016,200,0.00,25.51,11.55
2016,201,0.00,26.91,11.93
2016,202,0.00,28.45,13.19
2016,203,0.00,28.42,14.14
2016,204,0.00,31.03,12.95
2016,205,0.00,31.63,13.17
2016,206,0.00,28.53,14.25
2016,207,0.00,27.85,14.68
2016,208,0.00,29.38,13.25
2016,209,0.00,28.75,15.15
2016,210,0.00,29.82,15.01
2016,211,0.00,31.61,16.15
2016,212,0.00,27.76,13.78
2016,213,0.00,25.70,12.21
2016,214,0.00,26.38,12.11
2016,215,0.00,26.19,13.74
2016,216,0.00,26.02,14.16
2016,217,0.00,25.87,12.42
2016,218,0.00,25.37,12.32
2016,219,0.00,26.95,11.68
2016,220,0.00,26.09,12.53
2016,221,0.00,26.41,10.70
2016,222,0.00,25.98,6.21
2016,223,0.00,25.63,6.86
2016,224,0.00,24.97,10.71
2016,225,0.00,25.31,11.89
2016,226,0.00,27.21,11.78
2016,227,0.00,28.59,12.51
2016,228,0.00,28.37,12.38
2016,229,0.00,27.02,14.54
2016,230,0.00,27.64,15.30
2016,231,0.00,26.87,13.59
2016,232,0.00,24.85,12.16
2016,233,0.00,24.58,10.56
2016,234,0.00,21.04,9.76
2016,235,0.00,21.87,9.39
2016,236,0.00,23.56,9.40
2016,237,0.00,24.82,10.24
2016,238,0.00,24.09,9.77
2016,239,0.00,22.07,9.49
2016,240,0.00,22.90,9.23
2016,241,0.00,26.09,9.16
2016,242,0.00,29.44,9.77
2016,243,0.00,28.17,12.59
2016,244,0.00,26.69,11.25
2016,245,0.00,26.80,10.94
2016,246,0.00,24.42,10.48
2016,247,0.00,22.37,5.92
2016,248,0.00,19.71,4.79
2016,249,0.00,18.70,2.43
2016,250,0.00,24.78,5.62
2016,251,0.00,24.43,8.02
2016,252,0.00,24.15,9.92
2016,253,0.00,23.40,8.90
2016,254,0.00,25.33,9.11
2016,255,0.00,22.27,8.05
2016,256,0.00,20.18,5.15
2016,257,0.00,13.74,0.52
2016,258,0.00,18.41,-0.83
2016,259,0.00,20.30,1.00
2016,260,0.00,24.55,6.05
2016,261,0.00,25.67,7.60
2016,262,0.00,28.27,12.53
2016,263,0.00,27.26,11.31
2016,264,25.44,16.53,11.33
2016,265,18.52,15.70,10.28
2016,266,0.00,14.14,3.49
2016,267,0.00,16.67,-1.10
2016,268,0.00,21.30,5.37
2016,269,0.00,21.07,10.28
2016,270,0.00,20.00,9.55
2016,271,0.00,17.43,8.17
2016,272,0.00,16.30,5.89
2016,273,0.00,20.53,6.08
2016,274,0.00,19.96,5.94
2016,275,0.00,18.13,6.15
2016,276,0.00,15.72,-0.03
2016,277,0.00,12.41,-3.20
2016,278,0.00,15.29,1.72
2016,279,0.00,15.20,-0.53
2016,280,0.00,18.17,0.17
2016,281,0.00,19.85,2.59
2016,282,0.00,21.16,3.60
2016,283,0.00,22.58,5.95
2016,284,0.00,21.31,5.96
2016,285,0.00,18.46,4.17
2016,286,0.00,19.00,4.27
2016,287,0.00,21.79,5.47
2016,288,0.00,21.58,7.15
2016,289,0.00,19.36,5.40
2016,290,0.00,15.75,5.17
2016,291,0.00,13.29,3.99
2016,292,0.00,19.61,3.33
2016,293,0.00,19.11,5.78
2016,294,0.00,22.49,7.33
2016,295,0.00,22.97,5.56
2016,296,0.00,21.14,6.73
2016,297,8.19,19.20,7.19
2016,298,17.46,12.63,6.38
2016,299,0.00,16.40,3.41
2016,300,0.00,18.38,2.97
2016,301,0.00,18.13,4.02
2016,302,0.00,15.73,6.72
2016,303,0.00,17.88,8.58
2016,304,5.94,11.96,4.92
2016,305,0.00,8.12,-2.41
2016,306,0.00,8.96,-2.58
2016,307,0.00,12.41,3.02
2016,308,0.00,15.78,3.35
2016,309,0.00,17.09,3.61
2016,310,0.00,16.79,3.30
2016,311,0.00,15.80,1.79
2016,312,0.00,19.04,3.09
2016,313,0.00,19.08,9.81
2016,314,0.00,16.99,12.36
2016,315,0.00,17.07,10.19
2016,316,0.00,17.01,5.32
2016,317,0.00,16.18,2.72
2016,318,0.00,17.28,0.44
2016,319,0.00,20.58,3.96
2016,320,0.00,19.71,5.36
2016,321,0.00,15.94,1.31
2016,322,0.00,9.19,-6.52
2016,323,0.00,14.27,-1.21
2016,324,0.00,18.22,1.45
2016,325,20.83,14.97,5.36
2016,326,13.44,3.47,-0.57
2016,327,0.00,9.00,-4.22
2016,328,0.00,11.43,-3.03
2016,329,0.00,14.76,-0.21
2016,330,0.00,15.14,-2.85
2016,331,21.12,7.28,-3.79
2016,332,26.60,-0.59,-4.33
2016,333,0.00,2.80,-5.57
2016,334,0.00,4.42,-4.88
2016,335,0.00,6.90,-6.28
2016,336,0.00,4.73,-4.24
2016,337,0.00,1.82,-4.82
2016,338,0.00,7.83,-6.96
2016,339,0.00,16.29,1.54
2016,340,0.00,11.26,0.24
2016,341,0.00,4.51,-3.46
2016,342,0.00,4.82,-5.39
2016,343,0.00,9.34,-2.15
2016,344,0.00,11.00,0.40
2016,345,0.00,13.32,0.18
2016,346,0.00,13.41,2.06
2016,347,0.00,12.27,0.52
2016,348,0.00,13.39,2.47
2016,349,0.00,16.68,2.78
2016,350,42.68,13.88,1.25
2016,351,59.00,5.07,-2.92
2016,352,0.00,1.20,-9.71
2016,353,0.00,4.19,-6.79
2016,354,0.00,11.09,-2.37
2016,355,0.00,14.78,4.06
2016,356,28.10,9.93,-0.18
2016,357,21.27,6.09,2.09
2016,358,24.28,5.44,-2.85
2016,359,21.06,-1.23,-7.21
2016,360,0.00,-1.56,-12.45
2016,361,0.00,3.99,-8.46
2016,362,0.00,13.22,-0.57
2016,363,0.00,16.79,-0.06
2016,364,0.00,14.98,1.23
2016,365,7.38,7.14,-0.76
2017,1,0.00,4.15,-6.38
2017,2,0.00,2.72,-1.60
2017,3,0.00,5.14,-2.85
2017,4,0.00,8.81,-3.89
2017,5,13.06,6.23,3.90
2017,6,0.00,9.15,-3.06
2017,7,0.00,11.12,2.43
2017,8,0.00,15.09,5.50
2017,9,10.95,9.30,2.17
2017,10,2.92,7.49,1.30
2017,11,11.68,4.12,0.64
2017,12,22.86,0.46,-0.98
2017,13,14.42,2.01,-3.68
2017,14,0.00,5.45,-1.36
2017,15,0.00,4.85,-5.10
2017,16,0.00,4.99,-6.46
2017,17,0.00,8.27,-7.16
2017,18,21.92,8.37,-4.38
2017,19,29.57,0.88,-6.15
2017,20,52.76,-1.01,-7.87
2017,21,37.20,0.15,-8.35
2017,22,75.38,1.25,-3.74
2017,23,42.17,0.57,-7.07
2017,24,0.00,1.02,-9.90
2017,25,0.00,3.92,-14.26
2017,26,0.00,3.63,-10.05
2017,27,0.00,3.32,-8.19
2017,28,0.00,10.73,-7.02
2017,29,0.00,13.32,-1.37
2017,30,0.00,14.56,-2.53
2017,31,0.00,14.38,-3.88
2017,32,0.00,13.33,-3.95
2017,33,0.00,10.16,-0.34
2017,34,0.00,10.44,-0.11
2017,35,0.00,11.40,-1.78
2017,36,0.00,10.59,-3.07
2017,37,15.70,4.45,0.50
2017,38,13.67,9.44,2.69
2017,39,0.00,14.16,2.53
2017,40,0.00,19.42,3.48
2017,41,0.00,14.13,3.34
2017,42,5.33,5.29,0.18
2017,43,0.00,9.11,-1.95
2017,44,0.00,12.23,-0.93
2017,45,0.00,12.31,-0.76
